model,failure_rate,run,mae,rmse,mape,rfs,fcr,best_iteration
LOCF,0.2,3,3.0657336711883545,5.925128936767578,6.964921951293945,,100.0,
LightGBM,0.2,3,2.5005704674275164,4.268347658236159,6.0832028206756785,,100.0,107.0
Historical Mean,0.2,4,9.891593933105469,12.829048156738281,27.67816734313965,,100.0,
LOCF,0.2,4,3.1113438606262207,6.057098865509033,7.02430534362793,,100.0,
LightGBM,0.2,4,2.499682498428962,4.338158922338954,5.97877166064847,,100.0,206.0
Historical Mean,0.2,5,9.965017318725586,12.968046188354492,28.424468994140625,,100.0,
LOCF,0.2,5,3.1576027870178223,6.244926452636719,7.150213241577148,,100.0,
LightGBM,0.2,5,2.514962375203305,4.340593973590793,6.079222462169399,,100.0,147.0
Historical Mean,0.3,1,9.961925506591797,12.962316513061523,28.408973693847656,,100.0,
LOCF,0.3,1,3.1435129642486572,6.088752269744873,7.204615116119385,,100.0,
LightGBM,0.3,1,2.490811631650699,4.278684596772765,5.976142645106459,,100.0,120.0
Historical Mean,0.3,2,9.89333438873291,12.851282119750977,27.821767807006836,,100.0,
LOCF,0.3,2,3.17425799369812,6.210113048553467,7.2127909660339355,,100.0,
LightGBM,0.3,2,2.5081092066847934,4.339797884288689,5.964961494489982,,100.0,132.0
Historical Mean,0.3,3,9.946231842041016,12.898667335510254,28.017675399780273,,100.0,
LOCF,0.3,3,3.1597554683685303,6.1324310302734375,7.256962299346924,,100.0,
LightGBM,0.3,3,2.5323165015120246,4.423337628910387,6.176902323594503,,100.0,130.0
Historical Mean,0.3,4,9.948017120361328,12.904118537902832,28.042659759521484,,100.0,
LOCF,0.3,4,3.153693437576294,6.159196853637695,7.194446086883545,,100.0,
LightGBM,0.3,4,2.505411625247773,4.290163424289717,6.021037390342658,,100.0,156.0
Historical Mean,0.3,5,9.976051330566406,12.980339050292969,28.546146392822266,,100.0,
LOCF,0.3,5,3.247352123260498,6.499497413635254,7.561099529266357,,100.0,
LightGBM,0.3,5,2.5302404224050026,4.360998504965853,6.135057475991536,,100.0,153.0
Historical Mean,0.4,1,9.945610046386719,12.918558120727539,28.147655487060547,,100.0,
LOCF,0.4,1,3.2586634159088135,6.425676345825195,7.580002307891846,,100.0,
LightGBM,0.4,1,2.515315593174846,4.295887817047833,6.015499059785105,,100.0,135.0
Historical Mean,0.4,2,9.878499031066895,12.851314544677734,27.890535354614258,,100.0,
LOCF,0.4,2,3.274376153945923,6.4738240242004395,7.519142150878906,,100.0,
LightGBM,0.4,2,2.510527578399108,4.353109349991931,6.012957146052752,,100.0,133.0
Historical Mean,0.4,3,9.972848892211914,12.929731369018555,28.11952018737793,,100.0,
LOCF,0.4,3,3.2687666416168213,6.455889701843262,7.562576770782471,,100.0,
LightGBM,0.4,3,2.530798720743736,4.375986279212339,6.147391614813845,,100.0,142.0
Historical Mean,0.4,4,9.952319145202637,12.918816566467285,28.171201705932617,,100.0,
LOCF,0.4,4,3.2552337646484375,6.437767505645752,7.4889421463012695,,100.0,
LightGBM,0.4,4,2.5329320165868654,4.3614719950636704,6.104090148574872,,100.0,115.0
Historical Mean,0.4,5,9.941983222961426,12.92335319519043,28.24445915222168,,100.0,
LOCF,0.4,5,3.316040515899658,6.623500823974609,7.75166130065918,,100.0,
LightGBM,0.4,5,2.5394438045400274,4.385019901526662,6.165421389057942,,100.0,134.0
